Pclass,Sex,Age,SibSp,Ticket,Fare,Embarked
627,1,female,21.0,0,13502,77.9583,S
628,3,male,26.0,0,349224,7.8958,S
629,3,male,,0,334912,7.7333,Q
630,1,male,80.0,0,27042,30.0,S
631,3,male,51.0,0,347743,7.0542,S
632,1,male,32.0,0,13214,30.5,C
633,1,male,,0,112052,0.0,S
634,3,female,9.0,3,347088,27.9,S
635,2,female,28.0,0,237668,13.0,S
636,3,male,32.0,0,STON/O 2. 3101292,7.925,S
637,2,male,31.0,1,C.A. 31921,26.25,S
638,3,female,41.0,0,3101295,39.6875,S
639,3,male,,1,376564,16.1,S
640,3,male,20.0,0,350050,7.8542,S
641,1,female,24.0,0,PC 17477,69.3,C
642,3,female,2.0,3,347088,27.9,S
643,3,male,,0,1601,56.4958,S
644,3,female,0.75,2,2666,19.2583,C
645,1,male,48.0,1,PC 17572,76.7292,C
646,3,male,19.0,0,349231,7.8958,S
647,1,male,56.0,0,13213,35.5,C
648,3,male,,0,S.O./P.P. 751,7.55,S
649,3,female,23.0,0,CA. 2314,7.55,S
650,3,male,,0,349221,7.8958,S
651,2,female,18.0,0,231919,23.0,S
652,3,male,21.0,0,8475,8.4333,S
653,3,female,,0,330919,7.8292,Q
654,3,female,18.0,0,365226,6.75,Q
655,2,male,24.0,2,S.O.C. 14879,73.5,S
656,3,male,,0,349223,7.8958,S
657,3,female,32.0,1,364849,15.5,Q
658,2,male,23.0,0,29751,13.0,S
659,1,male,58.0,0,35273,113.275,C
660,1,male,50.0,2,PC 17611,133.65,S
661,3,male,40.0,0,2623,7.225,C
662,1,male,47.0,0,5727,25.5875,S
663,3,male,36.0,0,349210,7.4958,S
664,3,male,20.0,1,STON/O 2. 3101285,7.925,S
665,2,male,32.0,2,S.O.C. 14879,73.5,S
666,2,male,25.0,0,234686,13.0,S
667,3,male,,0,312993,7.775,S
668,3,male,43.0,0,A/5 3536,8.05,S
669,1,female,,1,19996,52.0,S
670,2,female,40.0,1,29750,39.0,S
671,1,male,31.0,1,F.C. 12750,52.0,S
672,2,male,70.0,0,C.A. 24580,10.5,S
673,2,male,31.0,0,244270,13.0,S
674,2,male,,0,239856,0.0,S
675,3,male,18.0,0,349912,7.775,S
676,3,male,24.5,0,342826,8.05,S
677,3,female,18.0,0,4138,9.8417,S
678,3,female,43.0,1,CA 2144,46.9,S
679,1,male,36.0,0,PC 17755,512.3292,C
680,3,female,,0,330935,8.1375,Q
681,1,male,27.0,0,PC 17572,76.7292,C
682,3,male,20.0,0,6563,9.225,S
683,3,male,14.0,5,CA 2144,46.9,S
684,2,male,60.0,1,29750,39.0,S
685,2,male,25.0,1,SC/Paris 2123,41.5792,C
686,3,male,14.0,4,3101295,39.6875,S
687,3,male,19.0,0,349228,10.1708,S
688,3,male,18.0,0,350036,7.7958,S
689,1,female,15.0,0,24160,211.3375,S
690,1,male,31.0,1,17474,57.0,S
691,3,female,4.0,0,349256,13.4167,C
692,3,male,,0,1601,56.4958,S
693,3,male,25.0,0,2672,7.225,C
694,1,male,60.0,0,113800,26.55,S
695,2,male,52.0,0,248731,13.5,S
696,3,male,44.0,0,363592,8.05,S
697,3,female,,0,35852,7.7333,Q
698,1,male,49.0,1,17421,110.8833,C
699,3,male,42.0,0,348121,7.65,S
700,1,female,18.0,1,PC 17757,227.525,C
701,1,male,35.0,0,PC 17475,26.2875,S
702,3,female,18.0,0,2691,14.4542,C
703,3,male,25.0,0,36864,7.7417,Q
704,3,male,26.0,1,350025,7.8542,S
705,2,male,39.0,0,250655,26.0,S
706,2,female,45.0,0,223596,13.5,S
707,1,male,42.0,0,PC 17476,26.2875,S
708,1,female,22.0,0,113781,151.55,S
709,3,male,,1,2661,15.2458,C
710,1,female,24.0,0,PC 17482,49.5042,C
711,1,male,,0,113028,26.55,S
712,1,male,48.0,1,19996,52.0,S
713,3,male,29.0,0,7545,9.4833,S
714,2,male,52.0,0,250647,13.0,S
715,3,male,19.0,0,348124,7.65,S
716,1,female,38.0,0,PC 17757,227.525,C
717,2,female,27.0,0,34218,10.5,S
718,3,male,,0,36568,15.5,Q
719,3,male,33.0,0,347062,7.775,S
720,2,female,6.0,0,248727,33.0,S
721,3,male,17.0,1,350048,7.0542,S
722,2,male,34.0,0,12233,13.0,S
723,2,male,50.0,0,250643,13.0,S
724,1,male,27.0,1,113806,53.1,S
725,3,male,20.0,0,315094,8.6625,S
726,2,female,30.0,3,31027,21.0,S
727,3,female,,0,36866,7.7375,Q
728,2,male,25.0,1,236853,26.0,S
729,3,female,25.0,1,STON/O2. 3101271,7.925,S
730,1,female,29.0,0,24160,211.3375,S
731,3,male,11.0,0,2699,18.7875,C
732,2,male,,0,239855,0.0,S
733,2,male,23.0,0,28425,13.0,S
734,2,male,23.0,0,233639,13.0,S
735,3,male,28.5,0,54636,16.1,S
736,3,female,48.0,1,W./C. 6608,34.375,S
737,1,male,35.0,0,PC 17755,512.3292,C
738,3,male,,0,349201,7.8958,S
739,3,male,,0,349218,7.8958,S
740,1,male,,0,16988,30.0,S
741,1,male,36.0,1,19877,78.85,S
742,1,female,21.0,2,PC 17608,262.375,C
743,3,male,24.0,1,376566,16.1,S
744,3,male,31.0,0,STON/O 2. 3101288,7.925,S
745,1,male,70.0,1,WE/P 5735,71.0,S
746,3,male,16.0,1,C.A. 2673,20.25,S
747,2,female,30.0,0,250648,13.0,S
748,1,male,19.0,1,113773,53.1,S
749,3,male,31.0,0,335097,7.75,Q
750,2,female,4.0,1,29103,23.0,S
751,3,male,6.0,0,392096,12.475,S
752,3,male,33.0,0,345780,9.5,S
753,3,male,23.0,0,349204,7.8958,S
754,2,female,48.0,1,220845,65.0,S
755,2,male,0.67,1,250649,14.5,S
756,3,male,28.0,0,350042,7.7958,S
757,2,male,18.0,0,29108,11.5,S
758,3,male,34.0,0,363294,8.05,S
759,1,female,33.0,0,110152,86.5,S
760,3,male,,0,358585,14.5,S
761,3,male,41.0,0,SOTON/O2 3101272,7.125,S
762,3,male,20.0,0,2663,7.2292,C
763,1,female,36.0,1,113760,120.0,S
764,3,male,16.0,0,347074,7.775,S
765,1,female,51.0,1,13502,77.9583,S
766,1,male,,0,112379,39.6,C
767,3,female,30.5,0,364850,7.75,Q
768,3,male,,1,371110,24.15,Q
769,3,male,32.0,0,8471,8.3625,S
770,3,male,24.0,0,345781,9.5,S
771,3,male,48.0,0,350047,7.8542,S
772,2,female,57.0,0,S.O./P.P. 3,10.5,S
773,3,male,,0,2674,7.225,C
774,2,female,54.0,1,29105,23.0,S
775,3,male,18.0,0,347078,7.75,S
776,3,male,,0,383121,7.75,Q
777,3,female,5.0,0,364516,12.475,S
778,3,male,,0,36865,7.7375,Q
779,1,female,43.0,0,24160,211.3375,S
780,3,female,13.0,0,2687,7.2292,C
781,1,female,17.0,1,17474,57.0,S
782,1,male,29.0,0,113501,30.0,S
783,3,male,,1,W./C. 6607,23.45,S
784,3,male,25.0,0,SOTON/O.Q. 3101312,7.05,S
785,3,male,25.0,0,374887,7.25,S
786,3,female,18.0,0,3101265,7.4958,S
787,3,male,8.0,4,382652,29.125,Q
788,3,male,1.0,1,C.A. 2315,20.575,S
789,1,male,46.0,0,PC 17593,79.2,C
790,3,male,,0,12460,7.75,Q
791,2,male,16.0,0,239865,26.0,S
792,3,female,,8,CA. 2343,69.55,S
793,1,male,,0,PC 17600,30.6958,C
794,3,male,25.0,0,349203,7.8958,S
795,2,male,39.0,0,28213,13.0,S
796,1,female,49.0,0,17465,25.9292,S
797,3,female,31.0,0,349244,8.6833,S
798,3,male,30.0,0,2685,7.2292,C
799,3,female,30.0,1,345773,24.15,S
800,2,male,34.0,0,250647,13.0,S
801,2,female,31.0,1,C.A. 31921,26.25,S
802,1,male,11.0,1,113760,120.0,S
803,3,male,0.42,0,2625,8.5167,C
804,3,male,27.0,0,347089,6.975,S
805,3,male,31.0,0,347063,7.775,S
806,1,male,39.0,0,112050,0.0,S
807,3,female,18.0,0,347087,7.775,S
808,2,male,39.0,0,248723,13.0,S
809,1,female,33.0,1,113806,53.1,S
810,3,male,26.0,0,3474,7.8875,S
811,3,male,39.0,0,A/4 48871,24.15,S
812,2,male,35.0,0,28206,10.5,S
813,3,female,6.0,4,347082,31.275,S
814,3,male,30.5,0,364499,8.05,S
815,1,male,,0,112058,0.0,S
816,3,female,23.0,0,STON/O2. 3101290,7.925,S
817,2,male,31.0,1,S.C./PARIS 2079,37.0042,C
818,3,male,43.0,0,C 7075,6.45,S
819,3,male,10.0,3,347088,27.9,S
820,1,female,52.0,1,12749,93.5,S
821,3,male,27.0,0,315098,8.6625,S
822,1,male,38.0,0,19972,0.0,S
823,3,female,27.0,0,392096,12.475,S
824,3,male,2.0,4,3101295,39.6875,S
825,3,male,,0,368323,6.95,Q
826,3,male,,0,1601,56.4958,S
827,2,male,1.0,0,S.C./PARIS 2079,37.0042,C
828,3,male,,0,367228,7.75,Q
829,1,female,62.0,0,113572,80.0,
830,3,female,15.0,1,2659,14.4542,C
831,2,male,0.83,1,29106,18.75,S
832,3,male,,0,2671,7.2292,C
833,3,male,23.0,0,347468,7.8542,S
834,3,male,18.0,0,2223,8.3,S
835,1,female,39.0,1,PC 17756,83.1583,C
836,3,male,21.0,0,315097,8.6625,S
837,3,male,,0,392092,8.05,S
838,3,male,32.0,0,1601,56.4958,S
839,1,male,,0,11774,29.7,C
840,3,male,20.0,0,SOTON/O2 3101287,7.925,S
841,2,male,16.0,0,S.O./P.P. 3,10.5,S
842,1,female,30.0,0,113798,31.0,C
843,3,male,34.5,0,2683,6.4375,C
844,3,male,17.0,0,315090,8.6625,S
845,3,male,42.0,0,C.A. 5547,7.55,S
846,3,male,,8,CA. 2343,69.55,S
847,3,male,35.0,0,349213,7.8958,C
848,2,male,28.0,0,248727,33.0,S
849,1,female,,1,17453,89.1042,C
850,3,male,4.0,4,347082,31.275,S
851,3,male,74.0,0,347060,7.775,S
852,3,female,9.0,1,2678,15.2458,C
853,1,female,16.0,0,PC 17592,39.4,S
854,2,female,44.0,1,244252,26.0,S
855,3,female,18.0,0,392091,9.35,S
856,1,female,45.0,1,36928,164.8667,S
857,1,male,51.0,0,113055,26.55,S
858,3,female,24.0,0,2666,19.2583,C
859,3,male,,0,2629,7.2292,C
860,3,male,41.0,2,350026,14.1083,S
861,2,male,21.0,1,28134,11.5,S
862,1,female,48.0,0,17466,25.9292,S
863,3,female,,8,CA. 2343,69.55,S
864,2,male,24.0,0,233866,13.0,S
865,2,female,42.0,0,236852,13.0,S
866,2,female,27.0,1,SC/PARIS 2149,13.8583,C
867,1,male,31.0,0,PC 17590,50.4958,S
868,3,male,,0,345777,9.5,S
869,3,male,4.0,1,347742,11.1333,S
870,3,male,26.0,0,349248,7.8958,S
871,1,female,47.0,1,11751,52.5542,S
872,1,male,33.0,0,695,5.0,S
873,3,male,47.0,0,345765,9.0,S
874,2,female,28.0,1,P/PP 3381,24.0,C
875,3,female,15.0,0,2667,7.225,C
876,3,male,20.0,0,7534,9.8458,S
877,3,male,19.0,0,349212,7.8958,S
878,3,male,,0,349217,7.8958,S
879,1,female,56.0,0,11767,83.1583,C
880,2,female,25.0,0,230433,26.0,S
881,3,male,33.0,0,349257,7.8958,S
882,3,female,22.0,0,7552,10.5167,S
883,2,male,28.0,0,C.A./SOTON 34068,10.5,S
884,3,male,25.0,0,SOTON/OQ 392076,7.05,S
885,3,female,39.0,0,382652,29.125,Q
886,2,male,27.0,0,211536,13.0,S
887,1,female,19.0,0,112053,30.0,S
888,3,female,,1,W./C. 6607,23.45,S
889,1,male,26.0,0,111369,30.0,C
890,3,male,32.0,0,370376,7.75,Q
